CategoryName,CategoryId
Fertility Clinic,700977
Hair Replacement Service,700978
Health Clinics,700487
Walk-in Clinic,700488
Medical Diagnostic Imaging Center,700979
Midwife,701156
MRI Center,700980
Occupational Therapist,700981
Pain Control Clinic,700982
Paternity Tests & Services,700489
Physical Therapists,700490
Pregnancy Care Center,700983
Rehabilitation Services,700491
Sleep Clinic,700984
Sleep Disorder Centers,700492
Sports Medicine Clinic,700985
Travel Clinic,700986
Women's Health Clinic,700987
Eye Care,700493
Laser Vision Correction,700494
LASIK Surgeon,700988
Ophthalmologists,700495
Pediatric Ophthalmologist,700989
Optician,700990
Optometrists,700496
Massage Therapist,700991
Medical Centers,700497
Ambulance & EMS Services,700498
Ambulance Service,700992
Emergency Care Facility,700993
Children's Hospitals,700499
Hospices,700500
Hospitals,700501
Urgent Care,700502
Mental Health Services,700503
Family Counselor,700994
Hypnosis And Hypnotherapy,700504
Psychiatrists,700505
Psychologists,700506
Hand Writing Analysts,701157
Psychotherapists,700507
Stress Management Services,700508
Suicide Prevention Services,700509
Prosthetic Device Service,701158
News & Media,700510
Newspapers,700511
Radio Stations,700512
Television Stations,700513
Weather Forecast Services,700514
Professionals & Services,700515
Animal & Pet Services,700516
Bird Control Service,700995
Dog Day Care Center,701159
Dog Sitter,700996
Dog Trainer,700997
Kennel,700998
Pet Breeders,700517
Pet Grooming,700518
Pet Sitting & Exercising Services,701160
Pet Trainer,700999
Veterinarians,700519
Animal Hospital,710521
Pet Emergency Care,710520
Appraiser,701161
Artists,701162
Auctioneers & Auction Houses,700522
Child Care Services,700523
Daycares,700524
Nannies,700525
Commercial Refrigerator Supplier,701000
Construction Services,700526
Architects,700527
Drafting Service,701163
Asphalt Contractor,701001
Blueprinters,700528
Builders,700529
Deck Builder,701002
Garage Builder,701003
Home Builders,700530
Custom Home Builder,701004
HVAC Contractor,710531
Building Contractor,701164
Building Materials Store,701005
Concrete Contractor,710560
Construction Company,710561
Construction Management,700532
Demolition Services,700533
Drilling & Boring Contractor,701165
Electric Contractor,701166
Engineering Services,700534
Civil Engineers,700535
Mechanical Engineers,700536
Professional Engineer,701167
Structural Engineers,700537
Excavating Contractor,701006
Fence Builders,700538
Fence Contractor,710539
General Contractor,700562
Inspection Services,700540
Home Inspection Services,700541
Mold Inspection Services,700542
Metal Materials & Experts,700543
Blacksmiths,700544
Ironworkers,700545
Iron Ornamental Work,701168
Welders,700546
Paving Contractor,710559
Plastering Contractor,701169
Ready Mix Concrete Supplier,701007
Scaffolding Rental Service,701008
Septic Tanks & Systems,700547
Solar Energy,700548
Stone & Masonry,700549
Gravel,700550
Lime,700551
Marble & Granite,700552
Masonry Contractors,700553
Masonry Contractor,701009
Rocks,700554
Sand,700555
Stone Supplier,701010
Sunroom Contractor,701011
Surveyors,700556
Land Surveyor,710557
Tile Contractor,701170
Well Drilling Contractor,701012
Wind Energy,700558
Counseling Services,701171
Diamond Buyer,701013
Drainage Contractor,701172
Dry Cleaning & Laundry Services,700563
Laundry Equipment Repair & Service,701173
Embroidery,701174
Employment Services,700564
Fashion Designer,701175
Foundation Contractors & Services,701176
Funeral Homes & Services,700565
Funeral Directors,701177
Mausoleum Builder,701014
Genealogists,700566
Graphic Designer,701178
Home & Garden Services,700567
Air Conditioning Services,700568
Concrete Pump Contractors,701179
Electricians,700569
Faux Painting Services,701180
Heating Services,700570
Home Appliance Repair & Services,700571
Electric Shaver Repair & Service,701181
Hot Tub Repair Service,701015
Water Heater Repair & Service,701182
Water Heater Repair & Services,701183
Home Remodeling & Repair,700572
Altering & Remodeling Contractor,701184
Bathroom Remodeling,700573
Bathtub & Sink Repairs,700574
Carpenters,700575
Ceiling & Roofing Repair & Service,701185
Chimney Cleaning & Repair,700576
Chimney Sweep,701016
Closet Remodeling,700577
Countertop Installation,700578
Door Repair & Installation,700579
Fire & Water Damage Restoration,700580
Fire Damage Restoration Service,701017
Water Damage Restoration Service,710581
Floor Refinishing Service,701018
Flooring Contractor,701019
Garage Doors & Openers,700582
Gutters & Downspouts Repair,700583
Handyman Services,700584
Insulation Service,701020
Kitchen Remodeling,700585
Microwave Oven Repair,710591
Patio Builders & Suppliers,701186
Refrigerator Repair,710592
Roofing & Siding Repair,700586
Roofing Contractor,710588
Siding Contractor,710587
Skylight Installation,700589
Tank Repair & Installation,701187
Washer And Dryer Repair,710593
Waterproofing Service,701188
Window Repair & Installation,700590
Wood Floor Installation Service,701021
Housecleaning Services,700594
Air Duct Cleaning Service,710596
Carpet Cleaning Service,710595
Furnace Repair,710597
Interior Designer,701022
Landscaping,700598
Fire Sprinkler Equipment Repair & Service,701189
Landscape Architect,701023
Landscape Designer,701024
Landscape Lighting Designer,701025
Lawn Equipment Rental Service,701026
Lawn Mower Repair Service,701027
Lawn Services,700599
Lawn Irrigation Equipment Supplier,701190
Rock Landscaping Contractor,701028
Tree Services,700600
Leak Detection Service,701191
Locksmith,710609
Painting Contractors,700601
Pest Control Service,710607
Plumbers,700602
Pool Cleaning Service,701029
Pumping Contractors,701192
Security & Safety,700603
Home Security,700604
Access Control System,701193
Security Guards,700605
Security System Supplier,701101
Stained Glass Studio,701194
Swimming Pool Contractor,710610
Swimming Pool Repair,710608
Upholstery Cleaning Service,701030
Window Cleaning Services,700606
Immigration Assistance Services,700611
Janitorial Services,700612
Sanitation Service,701031
Jeweler,701032
Jewelry Appraiser,701033
Jewelry Buyer,701034
Jewelry Repair Service,701035
Key Duplication Service,701036
Leasing Service,701195
Legal Services,700613
Bail Bonds Service,710629
Bankruptcy Service,710630
Court Reporters,701196
Divorce Service,701037
Document Management,701197
Lawyers,700614
Accident & Property Damage Attorney,701198
Appellate Practice Attorney,700615
Bankruptcy Lawyers,700616
Business Lawyers,701199
Civil Rights Lawyers,700617
Construction Law Attorney,701200
Criminal Defense Lawyers,700618
Divorce & Family Law Lawyers,700619
Divorce Attorney,710621
Family Law Attorney,710620
Drug Charges Attorney,701103
Drunk Driving Attorney,701104
Elder Law Attorney,701038
Employment Attorney,701039
Estate Attorney,710623
General Practice Attorney,710624
Immigration Attorney,701040
Insurance Attorney,701041
Juvenile Law Attorney,701105
Labor Relations Attorney,701042
Malpractice Law Lawyers,701201
Medical Malpractice Lawyers,701202
Personal Injury Lawyers,700622
Probate Law Attorney,701203
Real Estate Attorney,710625
Social Security Attorney,710626
Tax Attorney,701204
Trial Attorney,701043
Lie Detection Service,701205
Mediation Services,700627
Paralegal Services,700628
Process Servers,701206
Luggage Repair Service,701207
Mailing & Shipping Services,700631
Mailbox Rentals & Service,701208
Mailing Service,701044
Shipping Service,701045
Marriage Counseling Services,701209
Modeling Agencies,700632
Moving & Storage Services,700633
Movers,710634
Moving Supply Store,701046
Piano Moving Service,701210
Self-Storage Facility,710635
Musical Instruments Tuning & Repair,701211
Packaging Service,701212
Party & Event Planning,700636
Wedding Consultants,700637
Wedding Service,701213
Wedding Venue,701047
Photography Services,700638
Passport Photographers,700639
Photographers,701214
Portrait Photographers,700640
Wedding Photographers,700641
Piano Tuning & Repair,701215
Plants Interior Design,701216
Pressure Washing Service,701048
Private Investigator,701049
Psychics & Mediums,700642
Public Safety Agencies,701217
Publishers & Printers,700643
Book Publishers,700644
Digital Printing Shop,701218
Print Shop,701050
Printer Repair Service,701051
Publishing Service,701219
Screen Printing,700645
RV Storage Facility,701052
Sewer Contractor,701220
Shoe Repair Service,701221
Snow Removal Services,700646
Tailors,700647
Watch Repair & Service,700648
Website Design,700650
Weight Loss Services,701222
Writers,700649
Yoga Instructors,701223
Real Estate,700651
Apartments,700652
Apartment Rental Agencies,701224
Condominiums & Townhouses,700653
Condominium,710654
Condominium Rental Agency,710655
Townhouse Complex,700656
Manufactured & Mobile Homes,700657
Property Management & Maintenance,700658
Real Estate Services,700659
Home Staging Services,701225
Mortgage Companies,700660
Real Estate Agents & Brokers,700661
Commercial Real Estate Agency,701053
Real Estate Appraiser,701226
Real Estate Consultants,700662
Rental Services,700663
Cabin Rental Agency,710664
Furnished Apartment Building,701054
Title Company,700665
Retirement Community,701055
Religion,700666
Convents & Monasteries,700667
Missions,700668
Places of Worship,700669
Buddhist Temples,700670
Churches,700671
Episcopal,701227
Pentecostal Church,701228
Presbyterian Church,701229
Seventh-day Adventist Church,701230
United Church of Christ,701231
Hindu Temples,700672
Mosques,700673
Synagogues,700674
Retail,700675
Antique Stores,700676
Apparel & Shoes,700677
Apparel Accessories,700678
Glass & Mirror Shop,701232
Handbag Stores,700679
Hat Stores,700680
Sunglasses Stores,700681
Clothing,700682
Children's Clothing Stores,700683
Men's Clothing Stores,700684
Formalwear Stores,700685
Sportswear Stores,700686
Swimwear Stores,700687
Uniform Stores,700688
Women's Clothing Stores,700689
Bridal Wear Stores,700690
Lingerie Stores,700691
Maternity Clothing Stores,700692
Costume Stores,700693
Shoe Stores,700694
Automotive & Vehicle,700695
Auto Parts & Accessories Stores,700696
Used Auto Parts Store,701056
Marine Parts & Accessories Stores,700697
Marine Shells Store,701233
Motorcycle Parts & Accessories Stores,700698
RV Parts & Accessories Stores,700699
Tire Stores,700700
Used Tire Shop,701057
Trailer Parts & Accessories Stores,700701
Truck Accessories Store,701058
Bookstores,700702
Cigar & Tobacco Shops,700703
Comic Book Stores,700704
Convenience Stores,700705
Crafts & Hobbies,700706
Antique Restoration,701234
Antiques & Collectibles Store,701235
Art Restoration Service,701236
Arts & Crafts Supply Stores,700707
Craft Supply Store,710708
Collectibles Stores,700709
Fabric Shops,700710
Hobby Shops,700711
Yarn & Knitting Stores,700712
Department Stores,700713
Discount Stores,700714
Electronics Stores,700715
Audio & Video Equipment Dealer,701237
Battery Stores,701238
Burglar Alarm Store,701059
Car Stereo Store,701060
Computer Printers Service & Repair Store,701239
Computer Service & Repair Stores,700716
Electronics Service & Repair Stores,700717
Audio & Video Equipment Repair & Service,701240
Copier Repair Service,701061
Television Repair Service,701062
Home Theater Systems Stores,700718
Mobile Phone & Repair Stores,700719
Mobile Home Repair Service,701241
Flea Markets & Bazaars,700720
Florists & Gift Shops,700721
Florist,710722
Gift Shop,710723
Greeting Card Shops,701242
Grocery,700724
Candy & Confectionery Stores,700725
Cheese Shops,700726
Dairy Shops,700727
Ethnic Food Stores,700728
Farmers Markets,700729
Fish & Meat Markets,700730
Fruit & Vegetable Stands,700731
Supermarkets,700732
Health & Beauty Supplies,700733
Beauty Supply Stores,700734
Cosmetics & Perfume Shops,700735
Hair Supply Stores,700736
Wig & Hairpiece Stores,700737
Medical Supply & Equipment Stores,700738
Diabetes Equipment Supplier,701063
Hearing Aid Repair,710740
Hearing Aid Store,710739
Wheelchair Rental Service,701064
Wheelchair Store,701065
Optical Stores,700741
Pharmacies,700742
Vitamin & Supplement Stores,700743
Home & Garden,700744
Flag Store,701066
Furniture Repair Stores,701243
Furniture Stores,700745
Bedroom Furniture Store,710746
Children's Furniture Store,701067
Rustic Furniture Store,701068
Used Furniture Store,701069
Home & Commercial Cleaning Service,701244
Home Appliance Stores,700747
Refrigerator Store,701070
Vacuum Cleaner Store,701071
Wood Stove Shop,701072
Home Improvement Stores,700748
Bathroom Fixture Stores,700749
Shower Door Shop,710750
Countertop Store,701073
Fireplace Store,701074
Flooring & Carpet Stores,700751
Flooring Store,701075
Paint Store,701076
Tile Store,701077
Window Tinting,710753
Window Treatment Service,710752
Housewares,700754
Bedding & Bath Stores,700755
Mattress Store,710756
Home Décor Stores,700757
Oriental Rug Store,701078
Picture Frame Shop,701079
Rug Store,701080
Shutter Store,701246
Upholstery Shop,701247
Window Treatment Stores,701248
Home Goods Store,701081
Lighting Stores,700758
Lamps & Lamp Shade Store,701249
Kitchen Cabinet Stores,701250
Kitchenware Stores,700759
Yard & Garden,700760
Garden Center,701082
Landscaping Supply Store,701083
Outdoor Furniture & Décor Stores,700761
Outdoor Furniture Store,701084
Pool & Spa Supply Stores,700762
Swimming Pool Supply Store,701085
Yard & Garden Supply Stores,700763
Lawn Mower Store,710764
Plant Nurseries,701252
Plants Supplier,701253
Jewelry & Watches Stores,700765
Watch Store,701086
Leather Goods Store,701254
Liquor & Wine Stores,700766
Wine Stores,701255
Luggage & Travel Accessories Stores,700767
Malls & Shopping Centers,700768
Music Stores,700769
CD & Record Stores,700770
Musical Instrument Stores,700771
Piano Store,701087
Oil Production Companies,701256
Outlet Stores,700772
Party Supply Stores,700773
Party Equipment Rental Service,710774
Pinatas Supplier,701088
Tent Rental Service,701089
Pet Supply Stores,700775
Safe & Vault Shop,701090
Salvage Yard,701091
School & Office Supply Stores,700776
Sports & Outdoors,700777
Bicycle Shops,700778
Diving Equipment & Supplies,701257
Exercise Equipment Store,701258
Golf Equipment & Supply Stores,700779
Golf Cart Dealer,701092
Gun Shops,700780
Hunting & Fishing Stores,700781
Fishing Tackles Store,701259
Outdoor Recreational Equipment Stores,700782
Canoe & Kayak Rental Service,710783
Canoe & Kayak Store,710784
Snow Sports Stores,700785
Sporting Goods Stores,700786
Ski Shop,700787
soccer Store,700788
Thrift Stores,700789
Toy & Game Stores,700790
Trophies & Awards Shops,700791
Video Stores,700792
Warehouse Club Stores,700793
Sports & Recreation,700794
Archery & Shooting,700795
Shooting Ranges,700796
Boating Instruction,701260
Bowling,700797
Camps,700798
Equestrian,700799
Horse Boarding & Training,700800
Horse Stables Maintenance & Supplies,701261
Rodeos,700801
Fishing Charter,701093
Fitness Clubs,700802
Personal Trainer,701094
Pilates Studio,701262
Yoga,700803
Go Carts,700804
Golf,700805
Golf Courses,700806
Golf Driving Range,710807
Public Golf Course,701095
Golf Instruction,700808
Miniature Golf Courses,700809
Hot Air Balloons,700810
Martial Arts & Self-Defense,700811
Paintball,700812
Pool & Billiards,700813
Racing & Race Tracks,700814
Recreation Centers & Gymnasiums,700815
Gym,710816
Gymnastics Center,701263
Recreation Center,700817
Rock Climbing,700818
Skating Rinks,700819
Ice Skating Rink,710820
Roller Skating Rink,700821
Ski Resorts,700822
Stadiums & Playing Fields,700823
Swimming Pools,700824
Team Sports,700825
Baseball,700826
Batting Ranges,700827
Basketball,700828
Football,700829
Hockey,700830
Lacrosse,700831
Soccer,700832
Volleyball,700833
Tennis Store,701264
Travel,700834
Air Travel,700835
Airlines,700836
Airports,700837
Helicopter Charters,700838
Campgrounds,700839
Cruises,700840
Ferries,700841
Ground Transportation,700842
Airport Shuttles,700843
Buses & Charters,700844
Bus Line Company,701096
Car & Limousine Services,700845
Limousine Service,710846
Taxis,710847
Car Rentals,700848
Park & Rides,700849
Parking,700850
Airport Parking Lot,701097
Parking Lot Maintenance Service,701265
Public Transit,700851
Subways,700852
Taxi Services,700853
Trains,700854
Truck Rentals,701266
Hotels & Accommodations,700855
Bed & Breakfasts,700856
Hostels,700857
Hotels & Motels,700858
Extended Stay Hotel,701098
Hotel,710859
Luxury Hotel,701099
Motel,710860
Lodge,710863
Resorts,700861
Golf Resort,701100
Vacation Home Rentals,700862
RV Parks,700864
Tour Operators,701267
Tourist Information,700865
Travel Agencies,700866
Utilities,700867
Cable & Satellite Television Services,700868
Electric Companies,700869
Internet Services,700870
Natural Gas Companies,700871
Telephone Services,700872
Waste Management Services,700873
Landfills,700874
Water & Sewer Utilities,700875
Certified Public Accountant,710864
Environmental & Ecological Products & Service,710866
Film Making Equipment & Service,710865
Outdoor Lighting Store,710869
Legal Document Assistance,710871
Meditation Instructor,710872
Radio Repair Service,710868
Lawn Sprinkler Equipment & Supplies,710874
Window Blinds Store,710873
Boiler Repair & Service,710875
Eviction Service,710867
Executive Suite,710870
